ANA,Afghan National Army
,
ATO,Air Tasking Order 
,
CQ,Charge of Quarters
,
ATC,Air Traffic Control 
,
TOT,Time On Target 
,
NSW,Naval Special Warfare
,
HMMWV,High Mobility Multi Wheeled Vehicle
,
PTT,Push To Talk ROE Rules of Engagement 
,
ECM,Electronic Counter Measures 
,
88M/N,Motor transport operator/coordinator
,
HVT,High Value Target 
,
TTI,Time To Impact 
,
EOD,Explosive Ordnance Disposal
,
TOD,Time of Day 
,
ISR,Intelligence Surveillance and Reconnaissance 
,
12B,Combat Engineer
,
CAC,Common Access Card. Issued by military as identification.
,
DS,Drill Sergeant
,
LOS,Line of Sight 
,
RUMINT,Rumour Intelligence (aka the Rumour mill)
,
ASAP,As Soon As Possible
,
HMFIC,Head MotherFucker In Charge
,
WP,White Phosphorus
,
MSL,Mean Sea Level 
,
CONUS,Continental United States 
,
DOD,Department of Defence
,
BCG'S,Basic Combat Glasses (aka Birth Control Glasses)
,
AQI/ISI,"Al Qaeda in Iraq or Islamic State of Iraq (same organization, different name)"
,
RTB,Return To Base 
,
FEBA,Forward Edge of the Battle Area 
,
Squirters,Individuals fleeing a raid
,
TACP,Tactical Air Control Party
,
HAGA,Huge Ass Ground Ambulance
,
TF,Task Force
,
ADA,Air Defense Artillery
,
OGA,Other Government Agencies
,
SPINS,Special Instructions 
,
MIRC,Multi-User Internet Relay Chat 
,
SF,Special Forces (Army Green Berets)
,
PEB,Pre Engineered Buildings or Physical Evaluation Board
,
FSG,Family Support Group
,
FSE,Fire Support Element 
,
DARPA,Defense Advanced Research Projects Agency 
,
54B,Chemical operations
,
TTP,Tactics Techniques and Procedures 
,
FIST,Fire Support Team
,
CCT,Combat Controller
,
ORS,"Operation Resolute Support, US name for post-2014 ops in AFG (often seen as just RS)"
,
BONE,B1B Lancer
,
UCMJ,Uniform Code of Military Justice 
,
EFP,Explosively Formed Penetrator/Projectile
,
QRF,Quick Reaction Force
,
PAC,Personnel Administration Center.
,
Bag,Flight Suit
,
68W,Army Medic
,
IA/IP,Iraqi Army/Police
,
PID,Positive Identification 
,
GPS,Global Positioning System 
,
MRE,Meal Ready to Eat 
,
FTX,Field training exercise
,
PCC's,Pre-Combat Checks
,
ACU,Army Combat Uniform
,
RPA,Remotely Piloted Aircraft 
,
"Spooky,Spectre,GhostRider",AC130 Gunship
,
AGM,Air To Ground Missile 
,
CSAR,Combat Search and Rescue 
,
OEF,Operation Enduring Freedom
,
COG,Center of Gravity 
,
FO,Forward Observer
,
AOR,Area of Responsibility 
,
OND,Operation New Dawn
,
HMC,Chief Hospital Corpsman
,
BDU,"Battle Dress Uniform, predecessor to the ACU"
,
NCOER,NCO Evaluation Report/Officer Evaluation Report
OER,Officer Evaluation Report
BC,Battalion Commander
,
NBC,"Chemical, Biological, Radiological, Nuclear"
CBRN,"Chemical, Biological, Radiological, Nuclear"
,
BDA,Battle Damage Assessment 
,
MP,Military Police
,
MFWIC,Mother Fucker Who/Whats In Charge
,
PL,"Platoon Leader, Lieutenant"
,
74D,Chemical operations
,
ISAF,International Security Assistance Force
,
A2C2,Army Airspace Command and control 
,
IJC,ISAF Joint Command
,
FLA,Field Litter Ambulance
,
NCO,Non-commissioned officer
NCOs,Non-commissioned officers
ASVAB,Armed Services Vocational Aptitude Battery. A test that determines which MOS you qualify for
,
HUD,Heads Up Display 
,
F.O.s,High Explosive Blue Falcon
13FsHE,High Explosive Blue Falcon
MANPADS,Man Portable Air Defense System 
,
MRAP,Mine Resistant Ambush Protected
,
JDAM,Joint Direct Attack Munitions 
,
CBRNE,Chemical Biological Nuclear Environment
,
GBU,Guided Bomb Unit 
,
UA,Unauthorized Absence. Similar to AWOL but for Navy/Marine.
,
JTF,Joint Task Force 
,
AG,Adjutant General
,
POTUS,President of atheists United States PR Personnel Recovery 
,
CJTF,Combined Joint Task Force
,
JTAC,Joint Terminal Attack Controller
,
IED,Improvised Explosive Device 
,
AO,Area of Operations 
,
S-1,"Personnel Office, Battalion level"
,
ANP,Afghan National Police
,
ROMAD,Radio Operator Maintainer and Driver
,
HEAT,High Explosive Anti Tank (or Temperature)
,
CAS,Close Air Support 
,
AI,Air Interdiction 
,
AAIED,Anti-Armor Improvised Explosive Device
,
PGM,Precision Guided Munitions 
,
PJ,Pararescue Jumper
,
AWOL,Absent without leave
,
"
11B",Army Infantryman
,
SOWT,Special Operations Weather
,
AMRAAM,Advanced Medium arrange 
,
FMV,Full Motion Video 
,
AIT,Advanced Individual Training
,
GMT,Greenwich Mean Time 
,
STD,Strike To Develop
,
IP,Isolated Personnel 
,
PX,Post exchange
,
FLIR,Forward Looking Infrared 
,
C4I,Command Control Communications Computers & Intelligence 
,
SCIF,Secret Compartmented Information Facility 
,
RCP,Route Clearance Package
,
AGL,Above Ground Level 
,
TST,Time Sensitive Target 
,
FMF,Fleet Marine Force
,
FAC-A,Forward Air Controller Airborne
,
42R,Army Band person
,
XO,Executive Officer
,
BRM,Basic Rifle Marksmanship
,
PCI's,Pre-Combat Inspections
,
AAA,Anti Aircraft Artillery 
,
G-BOSS,Ground Based Operational Surveillance System
,
LNO,Liaison Officer
,
AAM,Air to Air Missile
,
UXO,Unexploded Ordnance
,
DFAC,Dining facility
,
SOF,Special Operations Forces 
,
13F,Forward Observer
,
ETS,"Expiration, Term of Service"
,
MNF-I,Multi National Forces-Iraq
,
OIF,Operation Iraqi Freedom
,
SEAD,Suppression of Enemy Air Defense 
,
HM1,"Hospital Corpsman, Petty Officer First Class"
,
TDY,Temporary Duty
,
SSE,Sensitive Site Exploitation. (Forensic search)
,
CEB,"Generally, Combat Engineer Battalion/Brigade. Also, Combined Effects Bomb"
,
C4,Plastic Explosive
,
HQ,Head Quarters
,
NVA,North Vietnamese Army 
,
CO,Commanding Officer (Or Company)
,
OG,Original Gansta
BN,Battalion
CHU,Containerized Housing Unit (portable trailers)
CPT,Captain
LTC,Lieutenant Colonel 
PFC,Private First-class 
PSD,Personal Security Detail 
RTD,Return To Duty
,
SIGACT,Significant Activity
SQN,Squadron
SSG,Staff Sergeant
ARVN,Army of the Republic of Vietnam (a.k.a. South Vietnamese Army)
SVA,South Vietnamese Army (a.k.a. ARVN)

